"url","date","ort","land","codex","disziplin","gender","category","kommentar"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25259","13.12.2003","Alta Badia","ITA",5693,"Giant Slalom","L","WC","Replaces: Spindleruv Mlyn"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66697","02.03.2012","Ofterschwang","GER",5479,"Giant Slalom","L","WC","Replaces: Soldeu-Grandvalira"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62267","04.03.2011","Tarvisio","ITA",5812,"Downhill","L","COM","Replaces: Sestriere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62266","04.03.2011","Tarvisio","ITA",5811,"Super Combined","L","WC","Replaces: Sestriere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78885","28.12.2014","Kuehtai in Tirol","AUT",5053,"Giant Slalom","L","WC","Replaces: Semmering"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78886","29.12.2014","Kuehtai in Tirol","AUT",5054,"Slalom","L","WC","Replaces: Semmering"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25766","10.01.2004","Veysonnaz","SUI",6158,"Downhill","L","WC","Replaces: S. Caterina Valfurva"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25767","11.01.2004","Veysonnaz","SUI",6159,"Super G","L","WC","Replaces: S. Caterina Valfurva"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14796","05.01.2002","Maribor","SLO",5508,"Slalom","L","WC","Replaces: Megeve"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47616","21.12.2006","Val d'Isere","FRA",5702,"Slalom","L","WC","Replaces: Megeve"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=36405","03.02.2006","Ofterschwang","GER",6068,"Giant Slalom","L","WC","Replaces: Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=69883","21.01.2012","Kranjska Gora","SLO",6222,"Giant Slalom","L","WC","Replaces: Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=69884","22.01.2012","Kranjska Gora","SLO",6223,"Slalom","L","WC","Replaces: Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75171","02.02.2014","Kranjska Gora","SLO",5262,"Slalom","L","WC","Replaces: Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66682","20.12.2011","Flachau","AUT",5432,"Slalom","L","WC","Replaces: Levi"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66683","21.12.2011","Flachau","AUT",445,"Slalom","M","WC","Replaces: Levi"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=28070","30.01.2004","Haus im Ennstal","AUT",5628,"Downhill","L","WC","Replaces: Lech/Arlberg"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25763","20.12.2003","St. Moritz","SUI",5886,"Downhill","L","WC","Replaces: Laax"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=32833","18.02.2005","Garmisch-Partenkirchen","GER",335,"Downhill","M","WC","Replaces: Kitzbühel"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=48995","23.02.2007","Garmisch-Partenkirchen","GER",495,"Downhill","M","WC","Replaces: Kitzbuehel"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66784","24.02.2012","Crans Montana","SUI",146,"Super G","M","WC","Replaces: Kitzbuehel"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66792","02.03.2012","Kvitfjell","NOR",667,"Super G","M","WC","Replaces: Garmisch-Partenkirch"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=54000","06.03.2009","Kvitfjell","NOR",668,"Downhill","M","WC","Replaces: Garmisch Partenkirch"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75234","02.02.2014","St. Moritz","SUI",213,"Giant Slalom","M","WC","Replaces: Garmisch Partenkirch"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82743","19.02.2016","La Thuile","ITA",5167,"Downhill","L","WC","Replaces: Crans Montana"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78878","12.12.2014","Are","SWE",5116,"Giant Slalom","L","WC","Replaces: Courchevel"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78879","13.12.2014","Are","SWE",5117,"Slalom","L","WC","Replaces: Courchevel"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18873","11.01.2003","Bormio","ITA",888,"Downhill","M","WC","Replaces: Chamonix"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18874","12.01.2003","Bormio","ITA",890,"Slalom","M","WC","Replaces: Chamonix"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47794","09.03.2007","Kvitfjell","NOR",744,"Downhill","M","COM","Replaces: Chamonix"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47793","09.03.2007","Kvitfjell","NOR",743,"Super Combined","M","WC","Replaces: Chamonix"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47659","20.01.2007","Val d'Isere","FRA",742,"Downhill","M","WC","Replaces: Chamonix"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18847","04.01.2003","Bormio","ITA",5327,"Giant Slalom","L","WC","Replaces: Berchtesgaden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18848","05.01.2003","Bormio","ITA",5328,"Slalom","L","WC","Replaces: Berchtesgaden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=31831","08.01.2005","Santa Caterina","ITA",5651,"Giant Slalom","L","WC","Replaces: Berchtesgaden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=31830","09.01.2005","Santa Caterina","ITA",5647,"Slalom","L","WC","Replaces: Berchtesgaden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=53962","12.12.2008","Val d'Isere","FRA",1494,"Super G","M","COM","Replaces: Beaver Creek"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=53963","12.12.2008","Val d'Isere","FRA",1493,"Super Combined","M","WC","Replaces: Beaver Creek"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78901","16.01.2015","Cortina d'Ampezzo","ITA",5058,"Downhill","L","WC","Replaces: Bad Kleinkirchheim"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15398","21.11.2001","Copper Mountain CO","USA",5865,"Giant Slalom","L","WC","Replaces: Aspen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15400","22.11.2001","Copper Mountain CO","USA",5866,"Slalom","L","WC","Replaces: Aspen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=48968","26.01.2007","San Sicario","ITA",5485,"Super G","L","WC","Replaces: Altenmarkt-Zauchense"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=59300","29.01.2010","Kranjska Gora","SLO",1439,"Giant Slalom","M","WC","Replaces: Adelboden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82791","26.02.2016","Hinterstoder","AUT",178,"Giant Slalom","M","WC","Replaces: Adelboden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=54082","01.02.2009","Garmisch Partenkirchen","GER",5707,"Super G","L","WC","Replaces: 31.01.2009"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78960","02.03.2015","Bansko","BUL",5072,"Super G","L","WC","Replaces: 28.02.2015"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75228","24.01.2014","Kitzbuehel","AUT",71,"Slalom","M","WC","Replaces: 26.01.2014"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75225","26.01.2014","Kitzbuehel","AUT",69,"Super Combined","M","WC","Replaces: 24.01.2014"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75226","26.01.2014","Kitzbuehel","AUT",68,"Super G","M","WC","Replaces: 24.01.2014"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=54060","20.12.2008","St. Moritz","SUI",6288,"Super G","L","WC","Replaces: 21.12.2008"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78877","19.12.2014","Val Gardena / Groeden","ITA",145,"Downhill","M","WC","Replaces: 20.12.2014"
