year,name,nation,gender,rank
2013,KOSTELIC Ivica,CRO,M,3
2014,HIRSCHER Marcel,AUT,M,1
2014,NEUREUTHER Felix,GER,M,2
2014,KRISTOFFERSEN Henrik,NOR,M,3
2015,HIRSCHER Marcel,AUT,M,1
2015,NEUREUTHER Felix,GER,M,2
2015,KHOROSHILOV Alexander,RUS,M,3
2016,HIRSCHER Marcel,AUT,M,2
2016,KRISTOFFERSEN Henrik; ,NOR,M,1
2016,NEUREUTHER Felix,GER,M,3
1967,GREENE Nancy,CAN,L,3
1967,GOITSCHEL Marielle,FRA,L,1
1967,FAMOSE Annie,FRA,L,1
1968,STEURER Florence,FRA,L,2
1968,GOITSCHEL Marielle,FRA,L,1
1968,GABL Gertrude,AUT,L,2
1969,GABL Gertrude,AUT,L,1
1969,CUTTER Kiki,USA,L,2
1969,LAFFORGUE Ingrid,FRA,L,3
1970,JACOT Michelle,FRA,L,2
1970,LAFFORGUE Ingrid,FRA,L,1
1970,COCHRAN Barbara Ann,USA,L,2
1971,MOSER-PROELL Annemarie,AUT,L,3
1971,LAFFORGUE Britt,FRA,L,1
1971,COCHRAN Barbara Ann,USA,L,3
1971,CLIFFORD Betsy,CAN,L,1
1972,MACCHI Francoise,FRA,L,2
1972,LAFFORGUE Britt,FRA,L,1
1972,STEURER Florence,FRA,L,2
1973,KASERER Monika,AUT,L,3
1973,EMONET Patricia,FRA,L,1
1973,MITTERMAIER Rosi,GER,L,2
1974,ZECHMEISTER Christa,GER,L,1
1974,SERRAT Fabienne,FRA,L,3
1974,MITTERMAIER Rosi,GER,L,2
1975,WENZEL Hanni,LIE,L,2
1975,MOREROD Lise-Marie,SUI,L,1
1975,ZECHMEISTER Christa,GER,L,3
1976,MITTERMAIER Rosi,GER,L,1
1976,MOREROD Lise-Marie,SUI,L,2
1976,DEBERNARD Danielle,FRA,L,3
1977,MOREROD Lise-Marie,SUI,L,1
1977,PELEN Perrine,FRA,L,2
1977,GIORDANI Claudia,ITA,L,3
1978,WENZEL Hanni,LIE,L,1
1978,SERRAT Fabienne,FRA,L,3
1978,PELEN Perrine,FRA,L,2
1979,MOSER-PROELL Annemarie,AUT,L,2
1979,SACKL Regina,AUT,L,1
1979,SOLKNER Lea,AUT,L,3
1980,WENZEL Hanni,LIE,L,2
1980,MOSER-PROELL Annemarie,AUT,L,3
1980,PELEN Perrine,FRA,L,1
1981,HESS Erika,SUI,L,1
1981,COOPER Christin,USA,L,2
1981,PELEN Perrine,FRA,L,3
1981,ZINI Daniela,ITA,L,3
1982,HESS Erika,SUI,L,1
1982,COOPER Christin,USA,L,3
1982,KONZETT Ursula,LIE,L,2
1983,MCKINNEY Tamara,USA,L,2
1983,HESS Erika,SUI,L,1
1983,QUARIO Maria-Rosa,ITA,L,3
1984,MCKINNEY Tamara,USA,L,1
1984,PELEN Perrine,FRA,L,3
1984,STEINER Roswitha,AUT,L,2
1985,HESS Erika,SUI,L,1
1985,MCKINNEY Tamara,USA,L,2
1985,PELEN Perrine,FRA,L,3
1986,HESS Erika,SUI,L,1
1986,PELEN Perrine,FRA,L,3
1986,STEINER Roswitha,AUT,L,1
1987,HESS Erika,SUI,L,3
1987,MCKINNEY Tamara,USA,L,2
1987,SCHMIDHAUSER Corinne,SUI,L,1
1988,WACHTER Anita,AUT,L,3
1988,SCHNEIDER Vreni,SUI,L,2
1988,STEINER Roswitha,AUT,L,1
1989,SCHNEIDER Vreni,SUI,L,1
1989,MCKINNEY Tamara,USA,L,3
1989,MAIERHOFER Monika,AUT,L,2
1990,SCHNEIDER Vreni,SUI,L,1
1990,STROBL Claudia,AUT,L,2
1990,LADSTAETTER Ida,AUT,L,3
1991,KRONBERGER Petra,AUT,L,1
1991,WIBERG Pernilla,SWE,L,2
1991,FERNANDEZ-OCHOA Blanca,ESP,L,3
1992,SCHNEIDER Vreni,SUI,L,1
1992,WIBERG Pernilla,SWE,L,2
1992,FERNANDEZ-OCHOA Blanca,ESP,L,3
1993,SCHNEIDER Vreni,SUI,L,1
1993,COBERGER Annelise,NZL,L,2
1993,CHAUVET Patricia,FRA,L,3
1994,SCHNEIDER Vreni,SUI,L,1
1994,WIBERG Pernilla,SWE,L,2
1994,HROVAT Urska,SLO,L,3
1995,SCHNEIDER Vreni,SUI,L,1
1995,ERTL-RENZ Martina,GER,L,3
1995,WIBERG Pernilla,SWE,L,2
1996,WIBERG Pernilla,SWE,L,3
1996,EDER Elfi,AUT,L,1
1996,HROVAT Urska,SLO,L,2
1997,WIBERG Pernilla,SWE,L,1
1997,COMPAGNONI Deborah,ITA,L,3
1997,RIEGLER Claudia,NZL,L,2
1998,GERG Hilde,GER,L,3
1998,NOWEN Ylva,SWE,L,1
1998,KOZNICK Kristina,USA,L,2
