year,name,gender,nation,rank
2015,JANSRUD Kjetil,M,NOR,2
2015,PINTURAULT Alexis,M,FRA,3
2016,HIRSCHER Marcel,M,AUT,1
2016,KRISTOFFERSEN Henrik; ,M,NOR,2
2016,PINTURAULT Alexis,M,FRA,3
1967,GREENE Nancy,L,CAN,1
1967,GOITSCHEL Marielle,L,FRA,2
1967,FAMOSE Annie,L,FRA,3
1968,GREENE Nancy,L,CAN,1
1968,MIR Isabelle,L,FRA,2
1968,STEURER Florence,L,FRA,3
1969,GABL Gertrude,L,AUT,1
1969,STEURER Florence,L,FRA,2
1969,DREXEL Wiltrud,L,AUT,3
1970,JACOT Michelle,L,FRA,1
1970,MACCHI Francoise,L,FRA,2
1970,STEURER Florence,L,FRA,3
1971,MOSER-PROELL Annemarie,L,AUT,1
1971,JACOT Michelle,L,FRA,2
1971,MIR Isabelle,L,FRA,3
1972,MOSER-PROELL Annemarie,L,AUT,1
1972,MACCHI Francoise,L,FRA,2
1972,LAFFORGUE Britt,L,FRA,3
1973,MOSER-PROELL Annemarie,L,AUT,1
1973,KASERER Monika,L,AUT,2
1973,EMONET Patricia,L,FRA,3
1974,MOSER-PROELL Annemarie,L,AUT,1
1974,KASERER Monika,L,AUT,2
1974,WENZEL Hanni,L,LIE,3
1975,MOSER-PROELL Annemarie,L,AUT,1
1975,WENZEL Hanni,L,LIE,2
1975,MITTERMAIER Rosi,L,GER,3
1976,MITTERMAIER Rosi,L,GER,1
1976,MOREROD Lise-Marie,L,SUI,2
1976,KASERER Monika,L,AUT,3
1977,MOREROD Lise-Marie,L,SUI,1
1977,MOSER-PROELL Annemarie,L,AUT,2
1977,KASERER Monika,L,AUT,3
1978,WENZEL Hanni,L,LIE,1
1978,MOSER-PROELL Annemarie,L,AUT,2
1978,MOREROD Lise-Marie,L,SUI,3
1979,MOSER-PROELL Annemarie,L,AUT,1
1979,WENZEL Hanni,L,LIE,2
1979,EPPLE Irene,L,GER,3
1980,WENZEL Hanni,L,LIE,1
1980,MOSER-PROELL Annemarie,L,AUT,2
1980,NADIG Marie-Therese,L,SUI,3
1981,NADIG Marie-Therese,L,SUI,1
1981,HESS Erika,L,SUI,2
1981,WENZEL Hanni,L,LIE,3
1982,HESS Erika,L,SUI,1
1982,EPPLE Irene,L,GER,2
1982,COOPER Christin,L,USA,3
1983,MCKINNEY Tamara,L,USA,1
1983,WENZEL Hanni,L,LIE,2
1983,HESS Erika,L,SUI,3
1984,HESS Erika,L,SUI,1
1984,WENZEL Hanni,L,LIE,2
1984,MCKINNEY Tamara,L,USA,3
1985,FIGINI Michela,L,SUI,1
1985,ORTLI Brigitte,L,SUI,2
1985,WALLISER Maria,L,SUI,3
1986,WALLISER Maria,L,SUI,1
1986,HESS Erika,L,SUI,2
1986,SCHNEIDER Vreni,L,SUI,3
1987,WALLISER Maria,L,SUI,1
1987,SCHNEIDER Vreni,L,SUI,2
1987,ORTLI Brigitte,L,SUI,3
1988,FIGINI Michela,L,SUI,1
1988,ORTLI Brigitte,L,SUI,2
1988,WACHTER Anita,L,AUT,3
1989,SCHNEIDER Vreni,L,SUI,1
1989,WALLISER Maria,L,SUI,2
1989,FIGINI Michela,L,SUI,3
1990,KRONBERGER Petra,L,AUT,1
1990,WACHTER Anita,L,AUT,2
1990,GERG-LEITNER Michaela,L,GER,3
1991,KRONBERGER Petra,L,AUT,1
1991,GINTHER Sabine,L,AUT,2
1991,SCHNEIDER Vreni,L,SUI,3
1992,KRONBERGER Petra,L,AUT,1
1992,MERLE Carole,L,FRA,2
1992,SEIZINGER Katja,L,GER,3
1993,WACHTER Anita,L,AUT,1
1993,SEIZINGER Katja,L,GER,2
1993,MERLE Carole,L,FRA,3
1994,SCHNEIDER Vreni,L,SUI,1
1994,WIBERG Pernilla,L,SWE,2
1994,SEIZINGER Katja,L,GER,3
1995,SCHNEIDER Vreni,L,SUI,1
1995,SEIZINGER Katja,L,GER,2
1995,ZELLER-BAEHLER Heidi,L,SUI,3
1996,SEIZINGER Katja,L,GER,1
1996,ERTL-RENZ Martina,L,GER,2
1996,WACHTER Anita,L,AUT,3
1997,WIBERG Pernilla,L,SWE,1
1997,SEIZINGER Katja,L,GER,2
1997,GERG Hilde,L,GER,3
